task_id,ranking,rank,candidate_id,lambda_ic,lambda_bc,war_rel_error,real_sinh_autodiff_rel_error,geometric_mean,max_error,mean_error,weight_sum
cahn_hilliard_2d_o6,shared_geomean,7,point_021,1.0,0.001,0.11564884334802628,1.0183587074279785,0.34317926310812663,1.0183587074279785,0.5670037753880024,1.001
cahn_hilliard_2d_o6,shared_geomean,8,point_019,0.1,100.0,0.11820629984140396,1.0066211223602295,0.3449477615761608,1.0066211223602295,0.5624137111008167,100.1
cahn_hilliard_2d_o6,shared_geomean,9,point_012,0.01,100.0,0.11886978149414062,1.0330616235733032,0.3504280374972024,1.0330616235733032,0.5759657025337219,100.01
cahn_hilliard_2d_o6,shared_geomean,10,point_022,1.0,0.01,0.1212816908955574,1.0185341835021973,0.3514677055009072,1.0185341835021973,0.5699079371988773,1.01
cahn_hilliard_2d_o6,shared_minimax,1,point_046,1000.0,10.0,0.41692548990249634,0.8689540028572083,0.6019045383978897,0.8689540028572083,0.6429397463798523,1010.0
cahn_hilliard_2d_o6,shared_minimax,2,point_045,1000.0,1.0,0.4098212718963623,0.873619556427002,0.5983543078882694,0.873619556427002,0.6417204141616821,1001.0
cahn_hilliard_2d_o6,shared_minimax,3,point_043,1000.0,0.01,0.42359277606010437,0.8753871917724609,0.6089398087581035,0.8753871917724609,0.6494899839162827,1000.01
cahn_hilliard_2d_o6,shared_minimax,4,point_042,1000.0,0.001,0.4578942060470581,0.8766289949417114,0.6335639964807545,0.8766289949417114,0.6672616004943848,1000.001
cahn_hilliard_2d_o6,shared_minimax,5,point_047,1000.0,100.0,0.25434038043022156,0.903601348400116,0.4793978626457847,0.903601348400116,0.5789708644151688,1100.0
cahn_hilliard_2d_o6,shared_minimax,6,point_033,10.0,100.0,0.11294618993997574,0.9171401262283325,0.32185009383027774,0.9171401262283325,0.5150431580841541,110.0
cahn_hilliard_2d_o6,shared_minimax,7,point_041,100.0,1000.0,0.18493521213531494,0.9280083179473877,0.41427215105886245,0.9280083179473877,0.5564717650413513,1100.0
cahn_hilliard_2d_o6,shared_minimax,8,point_034,10.0,1000.0,0.16063781082630157,0.9336588382720947,0.3872736911263884,0.9336588382720947,0.5471483245491982,1010.0
cahn_hilliard_2d_o6,shared_minimax,9,point_032,10.0,10.0,0.13591718673706055,0.9373051524162292,0.356925593689449,0.9373051524162292,0.5366111695766449,20.0
cahn_hilliard_2d_o6,shared_minimax,10,point_030,10.0,0.1,0.13830500841140747,0.9464845061302185,0.36180595293832124,0.9464845061302185,0.542394757270813,10.1
