case,method,seed,steps,wall_seconds,spacetime,terminal
kdv1d,nested_jvp,20260919,2913,1200.0691778571345,0.5433127880096436,0.585404634475708
kdv1d,nested_jvp,20260920,2862,1200.006846423028,0.5368765592575073,0.5681779980659485
kdv1d,nested_jvp,20260921,2907,1200.2483417573385,0.5475872159004211,0.5907094478607178
kdv1d,nested_jvp,20260922,3034,1200.329300565878,0.4854477345943451,0.6115061640739441
kdv1d,nested_jvp,20260923,2928,1200.2891788699199,0.5693675875663757,0.6191644072532654
kdv1d,shared_jet_linear,20260919,20953,1200.0377198159695,0.006511905696243048,0.010921120643615723
kdv1d,shared_jet_linear,20260920,22315,1200.0465101129375,0.009272100403904915,0.016282830387353897
kdv1d,shared_jet_linear,20260921,22419,1200.0155949341133,0.005469192750751972,0.009346824139356613
kdv1d,shared_jet_linear,20260922,22514,1200.0340437288396,0.005844241939485073,0.010391145944595337
kdv1d,shared_jet_linear,20260923,22621,1200.0335821341723,0.006816667038947344,0.012285632081329823
kdv2d,nested_jvp,20260919,2920,1200.038486717036,0.05808410793542862,0.07840189337730408
kdv2d,nested_jvp,20260920,2936,1200.1001189090312,0.031733836978673935,0.04552844539284706
kdv2d,nested_jvp,20260921,3124,1200.2868339587003,0.044189829379320145,0.06077326461672783
kdv2d,nested_jvp,20260922,3037,1200.2613073862158,0.04626831039786339,0.06651429831981659
kdv2d,nested_jvp,20260923,2943,1200.139758466743,0.03946535289287567,0.05503280088305473
kdv2d,shared_jet_linear,20260919,16600,1200.006338980049,0.0009454737883061171,0.0012748640729114413
kdv2d,shared_jet_linear,20260920,16534,1200.0140568763018,0.0012068134965375066,0.0021614371798932552
kdv2d,shared_jet_linear,20260921,16552,1200.0178622081876,0.0013246972812339664,0.002307085320353508
kdv2d,shared_jet_linear,20260922,16674,1200.0146054513752,0.0015379460528492928,0.0027661616913974285
kdv2d,shared_jet_linear,20260923,16908,1200.0471554249525,0.0018116963328793645,0.0030549974180758
ch2d,nested_jvp,20260919,635,1200.6621167063713,0.3067544996738434,0.5226491093635559
ch2d,nested_jvp,20260920,614,1201.658464230597,0.34110531210899353,0.5388325452804565
ch2d,nested_jvp,20260921,614,1201.267266318202,0.30874401330947876,0.40337419509887695
ch2d,nested_jvp,20260922,645,1201.4388484880328,0.26340410113334656,0.5888924598693848
ch2d,nested_jvp,20260923,634,1201.3648678064346,0.29590195417404175,0.4243052303791046
ch2d,shared_jet_linear,20260919,1179,1200.4823933318257,0.20252437889575958,0.36152932047843933
ch2d,shared_jet_linear,20260920,1166,1200.5014165192842,0.1890435814857483,0.4331730008125305
ch2d,shared_jet_linear,20260921,1240,1200.445431612432,0.1343444138765335,0.2604055404663086
ch2d,shared_jet_linear,20260922,1200,1200.3080627769232,0.11545299738645554,0.268056184053421
ch2d,shared_jet_linear,20260923,1220,1200.8368316367269,0.15917368233203888,0.32737743854522705
